Application_ID,District_Name,Gender,Sector,Residential_Type,Enterprise_Type,Monthly_Income_INR,Loan_Tenure_Months,Total_TAT_Days,Risk_Score,Repayment_Status,Loan_Amount_INR
0,Ganderbal,Unknown,It,Rural,Nano Entrepreneur,66090.0,24.0,164.0,44.0,Late,6914.0
1,Kupwara,Male,Manufacturing,Urban,Msme Sunrise Sector,16201.0,24.0,212.0,74.0,On-Time,5670705.0
2,Kathua,Female,It,Urban,Msme Sunrise Sector,20911.0,48.0,188.0,66.0,On-Time,5045.0
3,Doda,Female,Retail,Rural,Nano Entrepreneur,92788.0,48.0,164.0,8.0,Unknown,3029000.0
4,Shopian,Male,Tourism,Unknown,Nano Entrepreneur,24436.0,60.0,164.0,39.0,Late,1817953.0
5,Baramulla,Other,Unknown,Rural,Nano Entrepreneur,116015.0,24.0,212.0,20.0,Late,3473011.0
6,Bandipora,Male,Tourism,Rural,Existing Enterprise,107993.0,36.0,164.0,51.0,On-Time,1830212.5
7,Rajouri,Other,Healthcare,Urban,Nano Entrepreneur,109721.0,18.0,212.0,77.0,Unknown,4577776.0
8,Ramban,Female,Services,Urban,Unknown,113085.0,60.0,212.0,49.0,On-Time,3235082.0
9,Doda,Unknown,It,Rural,Existing Enterprise,36496.0,12.0,188.0,19.0,Late,3785000.0
10,Kulgam,Male,Healthcare,Urban,Nano Entrepreneur,96817.0,36.0,188.0,51.0,On-Time,1830212.5
11,Kathua,Female,Retail,Rural,Nano Entrepreneur,111002.0,24.0,202.0,88.0,On-Time,38040.0
12,Ganderbal,Male,It,Unknown,Nano Entrepreneur,50678.0,35.12,192.0,16.0,On-Time,3292269.0
13,Kathua,Male,Healthcare,Rural,Unknown,93896.0,48.0,173.0,71.0,Late,2958000.0
14,Doda,Unknown,Services,Rural,Msme Sunrise Sector,51792.0,24.0,188.0,96.0,Late,32318.0
15,Srinagar,Male,It,Rural,Unknown,84576.0,24.0,164.0,81.0,Late,4477409.0
16,Poonch,Male,Manufacturing,Rural,Nano Entrepreneur,65967.0,12.0,164.0,12.0,On-Time,1830212.5
17,Srinagar,Female,Unknown,Rural,Existing Enterprise,84062.0,35.12,212.0,88.0,On-Time,1830212.5
18,Reasi,Male,Unknown,Rural,Existing Enterprise,36575.0,18.0,212.0,4.0,Late,38070.0
19,Ganderbal,Male,Manufacturing,Rural,Nano Entrepreneur,22874.0,48.0,164.0,50.0,Late,1830212.5
20,Kupwara,Male,Unknown,Unknown,Unknown,10830.0,48.0,164.0,81.0,On-Time,103367.0
21,Kulgam,Female,Tourism,Rural,Msme Sunrise Sector,60775.0,48.0,188.0,74.0,Late,20344.0
22,Ganderbal,Other,Manufacturing,Rural,Msme Sunrise Sector,118085.0,35.12,188.0,100.0,Late,4644341.0
23,Pulwama,Male,It,Urban,Existing Enterprise,64658.0,18.0,188.0,4.0,Default,11201.0
24,Kishtwar,Male,Agri,Urban,Nano Entrepreneur,64658.0,60.0,212.0,36.0,On-Time,1175217.0
25,Reasi,Other,Retail,Urban,Msme Sunrise Sector,117335.0,35.12,175.0,31.0,On-Time,1830212.5
26,Kishtwar,Female,Retail,Rural,Nano Entrepreneur,59254.0,48.0,164.0,89.0,Late,2366253.0
27,Baramulla,Other,Manufacturing,Rural,Unknown,64658.0,18.0,188.0,60.0,Late,38983.0
28,Reasi,Female,Manufacturing,Urban,Existing Enterprise,94850.0,36.0,188.0,30.0,Default,1830212.5
29,Srinagar,Male,Services,Rural,Existing Enterprise,15661.0,36.0,202.0,82.0,Late,2454980.0
30,Ramban,Female,Tourism,Rural,Nano Entrepreneur,50244.0,18.0,188.0,61.0,On-Time,5079618.0
31,Jammu,Unknown,Healthcare,Rural,Nano Entrepreneur,85174.0,24.0,188.0,19.0,Late,4072631.0
32,Samba,Other,Agri,Unknown,Unknown,64658.0,24.0,188.0,28.0,Unknown,4031415.0
33,Samba,Female,Healthcare,Unknown,Unknown,27723.0,48.0,164.0,25.0,Late,618405.0
34,Reasi,Unknown,Manufacturing,Urban,Existing Enterprise,55275.0,48.0,188.0,21.0,On-Time,933000.0
35,Baramulla,Other,Retail,Rural,Nano Entrepreneur,48758.0,18.0,165.0,23.0,Late,1465615.0
36,Kulgam,Male,Retail,Rural,Nano Entrepreneur,31627.0,24.0,188.0,68.0,Default,3332000.0
37,Pulwama,Female,It,Urban,Existing Enterprise,26120.0,18.0,164.0,20.0,Late,2396000.0
38,Reasi,Male,Unknown,Rural,Existing Enterprise,13570.0,48.0,212.0,13.0,Late,902103.0
39,Jammu,Male,Healthcare,Rural,Existing Enterprise,31905.0,60.0,188.0,70.0,Default,935827.0
40,Kulgam,Other,Services,Rural,Nano Entrepreneur,41962.0,48.0,188.0,19.0,Default,3015000.0
41,Kupwara,Male,It,Urban,Unknown,47669.0,18.0,212.0,67.0,On-Time,1891000.0
42,Ramban,Unknown,Services,Rural,Nano Entrepreneur,31683.0,36.0,188.0,89.0,On-Time,43391.0
43,Pulwama,Female,Tourism,Urban,Msme Sunrise Sector,77357.0,12.0,184.0,40.0,Default,1830212.5
44,Jammu,Male,Unknown,Rural,Unknown,11986.0,24.0,188.0,20.0,On-Time,5994591.0
45,Shopian,Female,Manufacturing,Urban,Unknown,93395.0,35.12,212.0,43.0,Late,4999663.0
46,Shopian,Female,It,Urban,Existing Enterprise,32484.0,18.0,188.0,50.0,Late,34255.0
47,Budgam,Female,Healthcare,Urban,Nano Entrepreneur,61862.0,18.0,200.0,70.0,Late,1830212.5
48,Doda,Female,Healthcare,Rural,Msme Sunrise Sector,12942.0,36.0,188.0,22.0,On-Time,7517.0
49,Doda,Male,Healthcare,Unknown,Existing Enterprise,31572.0,35.12,188.0,91.0,Late,4758521.0
